Eta                      Xi                       Zeta                     Delta                    
0.040636                 0.000000                 0.000000                 0.393805                 
0.018997                 0.000000                 0.000000                 0.196902                 
0.018956                 -0.000001                -0.000000                0.190132                 
0.018887                 -0.000004                -0.000003                0.189794                 
0.018830                 -0.000010                -0.000007                0.189684                 
0.018785                 -0.000018                -0.000012                0.189596                 
0.018751                 -0.000027                -0.000017                0.189522                 
0.018728                 -0.000038                -0.000024                0.189463                 
0.018716                 -0.000049                -0.000031                0.189419                 
0.018715                 -0.000062                -0.000038                0.189391                 
0.037215                 -0.000168                -0.000104                0.378567                 
0.034866                 -0.000166                -0.000098                0.378586                 
0.032837                 -0.000167                -0.000095                0.365380                 
0.031016                 -0.000170                -0.000093                0.351554                 
0.029383                 -0.000173                -0.000092                0.338027                 
0.027920                 -0.000178                -0.000091                0.324883                 
0.013420                 -0.000075                -0.000035                0.156704                 
0.013691                 -0.000094                -0.000046                0.150630                 
0.013935                 -0.000110                -0.000055                0.150109                 
0.014181                 -0.000125                -0.000063                0.149860                 
0.014428                 -0.000138                -0.000069                0.149705                 
0.014679                 -0.000150                -0.000075                0.149637                 
0.014932                 -0.000161                -0.000079                0.149655                 
0.015189                 -0.000170                -0.000082                0.149759                 
0.030659                 -0.000396                -0.000195                0.298884                 
0.029221                 -0.000339                -0.000154                0.299486                 
0.028003                 -0.000297                -0.000122                0.289813                 
0.026919                 -0.000263                -0.000098                0.279762                 
0.025956                 -0.000236                -0.000080                0.270045                 
0.025101                 -0.000214                -0.000065                0.260720                 
0.024345                 -0.000195                -0.000053                0.251798                 
0.023678                 -0.000179                -0.000043                0.243283                 
0.023091                 -0.000164                -0.000034                0.235178                 
0.022577                 -0.000151                -0.000026                0.227486                 
0.022128                 -0.000138                -0.000019                0.220206                 
0.021740                 -0.000126                -0.000012                0.213337                 
0.021405                 -0.000115                -0.000006                0.206879                 
0.021119                 -0.000104                -0.000000                0.200826                 
0.020878                 -0.000093                0.000005                 0.195175                 
0.020677                 -0.000083                0.000010                 0.189921                 
0.020512                 -0.000073                0.000014                 0.185057                 
0.020380                 -0.000064                0.000019                 0.180575                 
0.020278                 -0.000055                0.000023                 0.176468                 
0.020203                 -0.000046                0.000026                 0.172727                 
0.020152                 -0.000037                0.000029                 0.169342                 
0.020123                 -0.000029                0.000032                 0.166304                 
0.020114                 -0.000022                0.000034                 0.163601                 
0.020122                 -0.000015                0.000036                 0.161222                 
0.020146                 -0.000008                0.000037                 0.159155                 
0.020184                 -0.000002                0.000038                 0.157390                 
0.020234                 0.000004                 0.000039                 0.155913                 
0.020296                 0.000009                 0.000039                 0.154712                 
0.020366                 0.000014                 0.000038                 0.153774                 
0.020446                 0.000018                 0.000038                 0.153087                 
0.020532                 0.000022                 0.000037                 0.152637                 
0.020624                 0.000025                 0.000036                 0.152413                 
0.020722                 0.000027                 0.000034                 0.152400                 
0.010467                 0.000028                 0.000022                 0.076861                 
0.011185                 0.000029                 0.000022                 0.077015                 
0.011869                 0.000030                 0.000022                 0.079862                 
0.012537                 0.000030                 0.000021                 0.082928                 
0.013191                 0.000031                 0.000020                 0.086124                 
0.013830                 0.000031                 0.000019                 0.089439                 
0.014455                 0.000031                 0.000018                 0.092865                 
0.015067                 0.000031                 0.000016                 0.096397                 
0.015664                 0.000030                 0.000014                 0.100025                 
0.016248                 0.000030                 0.000011                 0.103743                 
0.016817                 0.000029                 0.000009                 0.107543                 
0.017373                 0.000027                 0.000006                 0.111418                 
0.017914                 0.000026                 0.000003                 0.115359                 
0.018441                 0.000024                 -0.000001                0.119360                 
0.018954                 0.000022                 -0.000004                0.123413                 
0.019452                 0.000020                 -0.000008                0.127511                 
0.019934                 0.000017                 -0.000011                0.131646                 
0.020402                 0.000014                 -0.000015                0.135811                 
0.020854                 0.000011                 -0.000019                0.139998                 
0.021290                 0.000008                 -0.000023                0.144200                 
0.021710                 0.000005                 -0.000026                0.148411                 
0.022113                 0.000002                 -0.000030                0.152623                 
0.022500                 -0.000002                -0.000034                0.156829                 
0.022871                 -0.000005                -0.000037                0.161022                 
0.023224                 -0.000009                -0.000041                0.165195                 
0.023559                 -0.000013                -0.000044                0.169343                 
0.023878                 -0.000017                -0.000047                0.173459                 
0.024178                 -0.000020                -0.000050                0.177535                 
0.024461                 -0.000024                -0.000053                0.181567                 
0.024726                 -0.000028                -0.000056                0.185549                 
0.024973                 -0.000031                -0.000058                0.189474                 
0.025202                 -0.000035                -0.000060                0.193336                 
0.025413                 -0.000039                -0.000062                0.197131                 
0.025606                 -0.000042                -0.000064                0.200854                 
0.025781                 -0.000045                -0.000065                0.204499                 
0.025938                 -0.000048                -0.000066                0.208061                 
0.026078                 -0.000051                -0.000067                0.211537                 
0.026199                 -0.000054                -0.000067                0.214921                 
0.026304                 -0.000056                -0.000068                0.218209                 
0.026391                 -0.000059                -0.000068                0.221398                 
0.026461                 -0.000061                -0.000067                0.224484                 
0.026514                 -0.000063                -0.000067                0.227463                 
0.026552                 -0.000064                -0.000066                0.230333                 
0.026573                 -0.000066                -0.000064                0.233090                 
0.026578                 -0.000067                -0.000063                0.235732                 
0.026569                 -0.000068                -0.000061                0.238257                 
0.026544                 -0.000069                -0.000059                0.240661                 
0.026506                 -0.000069                -0.000057                0.242943                 
0.026453                 -0.000069                -0.000055                0.245102                 
0.026388                 -0.000069                -0.000052                0.247136                 
0.026309                 -0.000069                -0.000049                0.249044                 
0.026219                 -0.000069                -0.000046                0.250825                 
0.026117                 -0.000068                -0.000043                0.252478                 
0.026004                 -0.000067                -0.000040                0.254003                 
0.025881                 -0.000066                -0.000037                0.255399                 
0.025748                 -0.000065                -0.000033                0.256667                 
0.025606                 -0.000063                -0.000029                0.257808                 
0.025456                 -0.000061                -0.000026                0.258820                 
0.025299                 -0.000059                -0.000022                0.259706                 
0.025134                 -0.000057                -0.000018                0.260466                 
0.024963                 -0.000055                -0.000015                0.261102                 
0.024786                 -0.000053                -0.000011                0.261614                 
0.024604                 -0.000051                -0.000007                0.262005                 
0.024418                 -0.000048                -0.000004                0.262276                 
0.024229                 -0.000046                -0.000000                0.262430                 
0.024037                 -0.000043                0.000003                 0.262468                 
0.023842                 -0.000040                0.000007                 0.262393                 
0.023646                 -0.000038                0.000010                 0.262208                 
0.023449                 -0.000035                0.000013                 0.261915                 
0.023252                 -0.000032                0.000016                 0.261517                 
0.023056                 -0.000030                0.000019                 0.261018                 
0.022860                 -0.000027                0.000021                 0.260420                 
0.022666                 -0.000024                0.000023                 0.259727                 
0.022474                 -0.000022                0.000026                 0.258943                 
0.022285                 -0.000019                0.000028                 0.258070                 
0.022100                 -0.000017                0.000029                 0.257113                 
0.021918                 -0.000015                0.000031                 0.256075                 
0.021740                 -0.000013                0.000032                 0.254961                 
0.021568                 -0.000010                0.000033                 0.253774                 
0.021401                 -0.000009                0.000034                 0.252518                 
0.021239                 -0.000007                0.000034                 0.251198                 
0.021084                 -0.000005                0.000035                 0.249817                 
0.020935                 -0.000004                0.000035                 0.248380                 
0.020793                 -0.000002                0.000034                 0.246891                 
0.020658                 -0.000001                0.000034                 0.245354                 
0.020530                 -0.000000                0.000033                 0.243774                 
0.020411                 0.000001                 0.000032                 0.242155                 
0.020299                 0.000001                 0.000031                 0.240501                 
0.020196                 0.000002                 0.000030                 0.238816                 
0.020101                 0.000002                 0.000028                 0.237104                 
