CA                       CM                       CW                       CZ                       CX                       AoA [Deg]                Mach [-]                 Eta [Deg]                AoA size                 Mach size                Eta size                 
-0.723000                0.219200                 0.176000                 0.743793                 -0.021834                -12.000000               0.200000                 0.000000                 20                       8                        7                        
-0.449000                0.166200                 0.080000                 0.455764                 -0.016733                -8.000000                0.200000                 0.000000                 20                       8                        7                        
-0.185000                0.119600                 0.032000                 0.186782                 -0.019017                -4.000000                0.200000                 0.000000                 20                       8                        7                        
-0.058000                0.099000                 0.021000                 0.058698                 -0.018963                -2.000000                0.200000                 0.000000                 20                       8                        7                        
0.065000                 0.082200                 0.018000                 -0.065000                -0.018000                0.000000                 0.200000                 0.000000                 20                       8                        7                        
0.190000                 0.067300                 0.019000                 -0.190547                -0.012358                2.000000                 0.200000                 0.000000                 20                       8                        7                        
0.319000                 0.049300                 0.028000                 -0.320176                -0.005679                4.000000                 0.200000                 0.000000                 20                       8                        7                        
0.450000                 0.027500                 0.044000                 -0.452134                0.003279                 6.000000                 0.200000                 0.000000                 20                       8                        7                        
0.654000                 -0.016500                0.092000                 -0.660340                0.011441                 9.000000                 0.200000                 0.000000                 20                       8                        7                        
0.725000                 -0.035500                0.113000                 -0.733608                0.014612                 10.000000                0.200000                 0.000000                 20                       8                        7                        
0.799000                 -0.057700                0.139000                 -0.810843                0.016010                 11.000000                0.200000                 0.000000                 20                       8                        7                        
0.864000                 -0.078400                0.165000                 -0.879425                0.018241                 12.000000                0.200000                 0.000000                 20                       8                        7                        
0.980000                 -0.126400                0.221000                 -1.004355                0.022648                 14.000000                0.200000                 0.000000                 20                       8                        7                        
1.081000                 -0.180200                0.277000                 -1.115475                0.031694                 16.000000                0.200000                 0.000000                 20                       8                        7                        
1.166000                 -0.241800                0.339000                 -1.213689                0.037906                 18.000000                0.200000                 0.000000                 20                       8                        7                        
1.230000                 -0.311300                0.339000                 -1.271767                0.102129                 20.000000                0.200000                 0.000000                 20                       8                        7                        
1.324000                 -0.393000                0.339000                 -1.354583                0.181664                 22.000000                0.200000                 0.000000                 20                       8                        7                        
1.385000                 -0.463100                0.339000                 -1.403144                0.253638                 24.000000                0.200000                 0.000000                 20                       8                        7                        
1.374000                 -0.488500                0.339000                 -1.383551                0.297631                 26.000000                0.200000                 0.000000                 20                       8                        7                        
