FlightTime [s]           Gamma                    Chi                      
0.000000                 -0.000000                0.000000                 
0.010000                 0.000000                 0.000000                 
0.020000                 0.000022                 0.000000                 
0.030000                 0.000016                 0.000000                 
0.040000                 0.000010                 -0.000000                
0.050000                 0.000004                 -0.000000                
0.060000                 -0.000002                -0.000000                
0.070000                 -0.000008                -0.000000                
0.080000                 -0.000014                -0.000000                
0.090000                 -0.000020                -0.000000                
0.100000                 -0.000025                -0.000000                
0.110000                 -0.000030                -0.000000                
0.120000                 -0.000011                -0.000000                
0.130000                 0.000005                 -0.000000                
0.140000                 0.000017                 -0.000000                
0.150000                 0.000027                 -0.000000                
0.160000                 0.000035                 -0.000000                
0.170000                 0.000040                 -0.000000                
0.180000                 0.000026                 -0.000000                
0.190000                 0.000012                 -0.000000                
0.200000                 -0.000001                -0.000000                
0.210000                 -0.000013                -0.000000                
0.220000                 -0.000025                -0.000000                
0.230000                 -0.000036                -0.000000                
0.240000                 -0.000046                -0.000001                
0.250000                 -0.000055                -0.000001                
0.260000                 -0.000044                -0.000001                
0.270000                 -0.000034                -0.000001                
0.280000                 -0.000026                -0.000001                
0.290000                 -0.000019                -0.000001                
0.300000                 -0.000014                -0.000001                
0.310000                 -0.000009                -0.000001                
0.320000                 -0.000005                -0.000001                
0.330000                 -0.000003                -0.000001                
0.340000                 -0.000001                -0.000001                
0.350000                 0.000001                 -0.000001                
0.360000                 0.000002                 -0.000001                
0.370000                 0.000003                 -0.000001                
0.380000                 0.000003                 -0.000001                
0.390000                 0.000003                 -0.000001                
0.400000                 0.000003                 -0.000001                
0.410000                 0.000003                 -0.000001                
0.420000                 0.000003                 -0.000001                
0.430000                 0.000003                 -0.000001                
0.440000                 0.000003                 -0.000001                
0.450000                 0.000003                 -0.000001                
0.460000                 0.000004                 -0.000001                
0.470000                 0.000005                 -0.000001                
0.480000                 0.000006                 -0.000001                
0.490000                 0.000008                 -0.000001                
0.500000                 0.000010                 -0.000000                
0.510000                 0.000013                 -0.000000                
0.520000                 0.000016                 -0.000000                
0.530000                 0.000020                 -0.000000                
0.540000                 0.000024                 -0.000000                
0.550000                 0.000028                 -0.000000                
0.560000                 0.000034                 -0.000000                
0.570000                 0.000040                 0.000000                 
0.580000                 0.000046                 0.000000                 
0.590000                 0.000040                 0.000000                 
0.600000                 0.000036                 0.000000                 
0.610000                 0.000033                 0.000000                 
0.620000                 0.000033                 0.000000                 
0.630000                 0.000034                 0.000001                 
0.640000                 0.000037                 0.000001                 
0.650000                 0.000043                 0.000001                 
0.660000                 0.000050                 0.000001                 
0.670000                 0.000059                 0.000001                 
0.680000                 0.000070                 0.000001                 
0.690000                 0.000084                 0.000001                 
0.700000                 0.000099                 0.000001                 
0.710000                 0.000116                 0.000001                 
