Altitude                 Rho                      Temperture               Pressure                 SpeedOfSound             
0.000000                 1.226614                 288.140000               101400.930905            340.256744               
1.000000                 1.226731                 288.146490               101412.935824            340.260576               
2.000000                 1.226849                 288.152980               101424.941895            340.264408               
3.000000                 1.226967                 288.159470               101436.949116            340.268240               
4.000000                 1.227084                 288.165960               101448.957489            340.272072               
5.000000                 1.227202                 288.172450               101460.967012            340.275903               
6.000000                 1.227319                 288.178940               101472.977687            340.279735               
7.000000                 1.227437                 288.185430               101484.989513            340.283567               
8.000000                 1.227555                 288.191920               101497.002490            340.287398               
9.000000                 1.227672                 288.198410               101509.016619            340.291230               
10.000000                1.227790                 288.204900               101521.031899            340.295061               
11.000000                1.227908                 288.211390               101533.048331            340.298893               
12.000000                1.228025                 288.217880               101545.065915            340.302724               
13.000000                1.228143                 288.224370               101557.084650            340.306556               
14.000000                1.228261                 288.230860               101569.104537            340.310387               
15.000000                1.228379                 288.237350               101581.125576            340.314218               
16.000000                1.228496                 288.243840               101593.147767            340.318050               
17.000000                1.228614                 288.250330               101605.171110            340.321881               
18.000000                1.228732                 288.256820               101617.195606            340.325712               
19.000000                1.228849                 288.263310               101629.221253            340.329543               
20.000000                1.228967                 288.269800               101641.248053            340.333374               
21.000000                1.229085                 288.276290               101653.276006            340.337205               
22.000000                1.229203                 288.282780               101665.305111            340.341036               
23.000000                1.229321                 288.289270               101677.335368            340.344867               
24.000000                1.229438                 288.295760               101689.366779            340.348698               
25.000000                1.229556                 288.302250               101701.399342            340.352529               
26.000000                1.229674                 288.308740               101713.433058            340.356360               
27.000000                1.229792                 288.315230               101725.467927            340.360191               
28.000000                1.229910                 288.321720               101737.503948            340.364021               
29.000000                1.230027                 288.328210               101749.541123            340.367852               
30.000000                1.230145                 288.334700               101761.579452            340.371683               
31.000000                1.230263                 288.341190               101773.618933            340.375513               
32.000000                1.230381                 288.347680               101785.659568            340.379344               
33.000000                1.230499                 288.354170               101797.701356            340.383175               
34.000000                1.230617                 288.360660               101809.744298            340.387005               
35.000000                1.230735                 288.367150               101821.788394            340.390835               
36.000000                1.230852                 288.373640               101833.833643            340.394666               
37.000000                1.230970                 288.380130               101845.880046            340.398496               
38.000000                1.231088                 288.386620               101857.927603            340.402327               
39.000000                1.231206                 288.393110               101869.976313            340.406157               
40.000000                1.231324                 288.399600               101882.026178            340.409987               
41.000000                1.231442                 288.406090               101894.077197            340.413817               
42.000000                1.231560                 288.412580               101906.129370            340.417647               
43.000000                1.231678                 288.419070               101918.182698            340.421477               
44.000000                1.231796                 288.425560               101930.237180            340.425308               
45.000000                1.231914                 288.432050               101942.292816            340.429138               
46.000000                1.232032                 288.438540               101954.349607            340.432968               
47.000000                1.232150                 288.445030               101966.407553            340.436797               
48.000000                1.232268                 288.451520               101978.466653            340.440627               
