roll-rate                pitch-rate               yaw-rate                 acc_x_NED                acc_y_NED                acc_z_NED                
0.000000                 0.000000                 0.000000                 0.000035                 0.000000                 -0.000023                
0.000000                 -0.003988                0.000000                 0.814345                 0.000000                 -0.403005                
0.000000                 -0.002941                0.000000                 -0.000578                0.000000                 0.109615                 
0.000000                 -0.001904                0.000000                 -0.028095                -0.000004                0.110351                 
0.000000                 -0.000871                0.000000                 -0.029205                -0.000021                0.110900                 
0.000001                 0.000155                 0.000000                 -0.029473                -0.000051                0.110312                 
0.000002                 0.001169                 0.000001                 -0.029756                -0.000090                0.108606                 
0.000003                 0.002168                 0.000001                 -0.030079                -0.000136                0.105807                 
0.000006                 0.003149                 0.000002                 -0.030441                -0.000188                0.101945                 
0.000009                 0.004110                 0.000002                 -0.030839                -0.000244                0.097052                 
0.000012                 0.005046                 0.000003                 -0.031268                -0.000302                0.091162                 
0.000022                 0.001728                 0.000006                 0.750838                 -0.000825                -0.342888                
0.000032                 -0.000985                0.000008                 0.749986                 -0.000797                -0.282388                
0.000043                 -0.003176                0.000011                 0.695010                 -0.000785                -0.228505                
0.000054                 -0.004902                0.000013                 0.637797                 -0.000782                -0.178864                
0.000065                 -0.006213                0.000015                 0.582072                 -0.000782                -0.133242                
0.000077                 -0.007156                0.000017                 0.528131                 -0.000784                -0.091454                
0.000081                 -0.004755                0.000018                 -0.166498                -0.000294                0.251555                 
0.000087                 -0.002463                0.000019                 -0.190785                -0.000371                0.243314                 
0.000095                 -0.000272                0.000021                 -0.192422                -0.000437                0.234040                 
0.000103                 0.001816                 0.000022                 -0.193164                -0.000494                0.223124                 
0.000111                 0.003802                 0.000024                 -0.193736                -0.000542                0.210649                 
0.000121                 0.005686                 0.000025                 -0.194156                -0.000582                0.196703                 
0.000132                 0.007466                 0.000027                 -0.194417                -0.000612                0.181377                 
0.000143                 0.009143                 0.000029                 -0.194513                -0.000634                0.164761                 
0.000169                 0.007238                 0.000034                 0.421630                 -0.001643                -0.204582                
0.000193                 0.005695                 0.000038                 0.422954                 -0.001322                -0.173014                
0.000214                 0.004458                 0.000041                 0.382145                 -0.001074                -0.146122                
0.000233                 0.003490                 0.000043                 0.339957                 -0.000873                -0.122007                
0.000251                 0.002761                 0.000045                 0.299294                 -0.000707                -0.100488                
0.000267                 0.002239                 0.000046                 0.260366                 -0.000565                -0.081418                
0.000282                 0.001900                 0.000048                 0.223187                 -0.000439                -0.064660                
0.000297                 0.001719                 0.000049                 0.187754                 -0.000325                -0.050084                
0.000310                 0.001674                 0.000049                 0.154060                 -0.000219                -0.037573                
0.000322                 0.001747                 0.000050                 0.122096                 -0.000120                -0.027012                
0.000333                 0.001919                 0.000050                 0.091849                 -0.000024                -0.018293                
0.000343                 0.002175                 0.000050                 0.063302                 0.000069                 -0.011314                
0.000353                 0.002500                 0.000050                 0.036436                 0.000160                 -0.005978                
0.000362                 0.002882                 0.000050                 0.011227                 0.000248                 -0.002188                
0.000370                 0.003309                 0.000050                 -0.012350                0.000335                 0.000144                 
0.000377                 0.003769                 0.000049                 -0.034324                0.000421                 0.001108                 
0.000383                 0.004254                 0.000049                 -0.054726                0.000504                 0.000788                 
0.000389                 0.004756                 0.000048                 -0.073590                0.000586                 -0.000732                
0.000394                 0.005266                 0.000047                 -0.090952                0.000666                 -0.003371                
0.000399                 0.005778                 0.000046                 -0.106852                0.000744                 -0.007052                
0.000402                 0.006285                 0.000045                 -0.121329                0.000819                 -0.011697                
0.000405                 0.006783                 0.000044                 -0.134426                0.000892                 -0.017231                
0.000407                 0.007267                 0.000043                 -0.146187                0.000963                 -0.023581                
0.000409                 0.007732                 0.000042                 -0.156658                0.001031                 -0.030675                
0.000410                 0.008174                 0.000041                 -0.165885                0.001096                 -0.038444                
0.000410                 0.008592                 0.000039                 -0.173916                0.001158                 -0.046819                
0.000410                 0.008981                 0.000038                 -0.180800                0.001218                 -0.055734                
0.000409                 0.009341                 0.000037                 -0.186585                0.001274                 -0.065123                
0.000408                 0.009668                 0.000036                 -0.191322                0.001327                 -0.074925                
0.000406                 0.009962                 0.000034                 -0.195061                0.001378                 -0.085078                
0.000404                 0.010221                 0.000033                 -0.197851                0.001425                 -0.095521                
0.000402                 0.010444                 0.000032                 -0.199743                0.001470                 -0.106199                
0.000399                 0.010631                 0.000031                 -0.200787                0.001511                 -0.117055                
0.000395                 0.013151                 0.000030                 -0.514418                0.001480                 0.111270                 
0.000390                 0.015441                 0.000029                 -0.514717                0.001522                 0.078293                 
