FlightTime [s]           Velocity                 x_NED                    y_NED                    z_NED                    phi                      theta                    psi                      
0.000000                 180.000000               1.800000                 0.000000                 -5250.000000             0.000000                 0.094502                 0.000000                 
0.010000                 180.000000               3.600000                 0.000000                 -5250.000000             0.000000                 0.094502                 0.000000                 
0.020000                 180.008144               5.400081                 0.000000                 -5250.000040             0.000000                 0.094502                 0.000000                 
0.030000                 180.008138               7.200163                 0.000000                 -5250.000070             0.000000                 0.094462                 0.000000                 
0.040000                 180.007857               9.000241                 -0.000000                -5250.000088             0.000000                 0.094433                 0.000000                 
0.050000                 180.007565               10.800317                -0.000000                -5250.000095             0.000000                 0.094414                 0.000000                 
0.060000                 180.007270               12.600389                -0.000000                -5250.000091             0.000000                 0.094405                 0.000000                 
0.070000                 180.006973               14.400459                -0.000000                -5250.000077             0.000000                 0.094407                 0.000000                 
0.080000                 180.006672               16.200526                -0.000000                -5250.000051             0.000000                 0.094418                 0.000000                 
0.090000                 180.006368               18.000589                -0.000000                -5250.000016             0.000000                 0.094440                 0.000000                 
0.100000                 180.006059               19.800650                -0.000000                -5249.999971             0.000000                 0.094472                 0.000000                 
0.110000                 180.005747               21.600707                -0.000000                -5249.999917             0.000000                 0.094513                 0.000000                 
0.120000                 180.013255               23.400840                -0.000000                -5249.999897             0.000000                 0.094563                 0.000000                 
0.130000                 180.020755               25.201047                -0.000001                -5249.999905             0.000001                 0.094580                 0.000000                 
0.140000                 180.027705               27.001324                -0.000001                -5249.999936             0.000001                 0.094571                 0.000000                 
0.150000                 180.034083               28.801665                -0.000002                -5249.999985             0.000001                 0.094539                 0.000000                 
0.160000                 180.039904               30.602064                -0.000002                -5250.000047             0.000002                 0.094490                 0.000000                 
0.170000                 180.045185               32.402516                -0.000003                -5250.000119             0.000003                 0.094428                 0.000001                 
0.180000                 180.043520               34.202951                -0.000003                -5250.000165             0.000003                 0.094356                 0.000001                 
0.190000                 180.041612               36.003367                -0.000004                -5250.000187             0.000004                 0.094309                 0.000001                 
0.200000                 180.039688               37.803764                -0.000005                -5250.000186             0.000005                 0.094284                 0.000001                 
0.210000                 180.037756               39.604142                -0.000005                -5250.000162             0.000006                 0.094281                 0.000001                 
0.220000                 180.035819               41.404500                -0.000006                -5250.000117             0.000007                 0.094299                 0.000002                 
0.230000                 180.033877               43.204839                -0.000007                -5250.000053             0.000008                 0.094337                 0.000002                 
0.240000                 180.031933               45.005158                -0.000008                -5249.999970             0.000009                 0.094394                 0.000002                 
0.250000                 180.029988               46.805458                -0.000009                -5249.999871             0.000011                 0.094469                 0.000002                 
0.260000                 180.034204               48.605800                -0.000010                -5249.999792             0.000012                 0.094560                 0.000003                 
0.270000                 180.038434               50.406184                -0.000011                -5249.999731             0.000014                 0.094633                 0.000003                 
0.280000                 180.042255               52.206606                -0.000013                -5249.999684             0.000016                 0.094690                 0.000003                 
0.290000                 180.045655               54.007063                -0.000014                -5249.999650             0.000018                 0.094734                 0.000004                 
0.300000                 180.048648               55.807549                -0.000016                -5249.999625             0.000020                 0.094769                 0.000004                 
0.310000                 180.051251               57.608062                -0.000017                -5249.999609             0.000023                 0.094797                 0.000005                 
0.320000                 180.053483               59.408597                -0.000019                -5249.999599             0.000026                 0.094819                 0.000005                 
0.330000                 180.055361               61.209150                -0.000020                -5249.999594             0.000029                 0.094838                 0.000006                 
0.340000                 180.056901               63.009719                -0.000022                -5249.999593             0.000032                 0.094855                 0.000006                 
0.350000                 180.058122               64.810300                -0.000024                -5249.999595             0.000035                 0.094872                 0.000007                 
0.360000                 180.059041               66.610891                -0.000026                -5249.999598             0.000038                 0.094890                 0.000007                 
0.370000                 180.059674               68.411487                -0.000027                -5249.999603             0.000041                 0.094909                 0.000008                 
0.380000                 180.060038               70.212088                -0.000029                -5249.999608             0.000045                 0.094931                 0.000008                 
0.390000                 180.060150               72.012689                -0.000031                -5249.999613             0.000048                 0.094956                 0.000009                 
0.400000                 180.060027               73.813289                -0.000032                -5249.999619             0.000052                 0.094984                 0.000009                 
0.410000                 180.059684               75.613886                -0.000034                -5249.999624             0.000056                 0.095017                 0.000010                 
